"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C9","SMD_0805_CAPC2012X95N","27.961mm","42.6036mm","27.961mm","42.6036mm","27.961mm","41.7036mm","T","90.00","10uF"
"C10","SMD_0603_CAPC1608X95N","30mm","42.6786mm","30mm","42.6786mm","30mm","41.8786mm","T","90.00","100nF"
"C11","SMD_0603_CAPC1608X95N","25.9169mm","40.0209mm","25.9169mm","40.0209mm","26.7169mm","40.0209mm","T","180.00","10pF"
"C12","SMD_1210_CAPC3225X279N","29.6mm","39.1783mm","29.6mm","39.1783mm","29.6mm","37.7283mm","B","90.00","22uF"
"C14","SMD_0603_CAPC1608X95N","29.875mm","2mm","29.875mm","2mm","30.675mm","2mm","B","180.00","33pF"
"C15","SMD_0603_CAPC1608X95N","29.875mm","0.1644mm","29.875mm","0.1644mm","30.675mm","0.1644mm","B","180.00","10pF"
"C16","SMD_1210_CAPC3225X279N","25.0419mm","40.4959mm","25.0419mm","40.4959mm","26.4918mm","40.4959mm","B","180.00","100uF"
"C20","SMD_1210_CAPC3225X279N","7.0036mm","40.1mm","7.0036mm","40.1mm","8.4536mm","40.1mm","B","180.00","10uF/50V"
"C23","SMD_0603_CAPC1608X95N","23.5919mm","2mm","23.5919mm","2mm","24.3919mm","2mm","B","180.00","33pF"
"C24","SMD_0603_CAPC1608X95N","23.5919mm","0.1644mm","23.5919mm","0.1644mm","24.3919mm","0.1644mm","B","180.00","10pF"
"C26","SMD_0603_CAPC1608X95N","20mm","0.1644mm","20mm","0.1644mm","20.8mm","0.1644mm","B","180.00","33pF"
"C27","SMD_0603_CAPC1608X95N","20mm","2mm","20mm","2mm","20.8mm","2mm","B","180.00","10pF"
"C28","SMD_0603_CAPC1608X95N","37.4536mm","42.3262mm","37.4536mm","42.3262mm","37.4536mm","43.1262mm","T","270.00","10uF"
"D3","SMD_0805_LED2012X100N","43.147mm","28mm","43.147mm","28mm","43.147mm","29.05mm","B","270.00","LED_CALL"
"D4","SMD_0805_LED2012X100N","43mm","17.6mm","43mm","17.6mm","43mm","18.65mm","B","270.00","LED_NETWORK"
"D5","SMD_DO214AC_SMA","-1mm","34.35mm","-1mm","34.35mm","1mm","34.35mm","T","180.00","SS14"
"J2","PTH_HDRV02W64P254_1X02","13.2536mm","10.75mm","13.2536mm","10.75mm","13.2536mm","12.02mm","T","270.00","CON_2PINS"
"J5","PTH_HDRV02W64P254_1X02","34.3mm","37.8565mm","34.3mm","37.8565mm","33.03mm","37.8565mm","T","360.00","CON_2PINS"
"J10","PTH_HDRV02W64P254_1X02","3.55mm","34mm","3.55mm","34mm","3.55mm","32.73mm","T","90.00","CON_2PINS"
"J15","PTH_HDRV02W64P254_1X02","43.27mm","-3mm","43.27mm","-3mm","44.54mm","-3mm","T","180.00","CON_2PINS"
"J20","PTH_MIC_9.6MM_6MM","24.6207mm","30.5095mm","25.4207mm","30.5095mm","24.6207mm","29.2395mm","T","90.00","LD-MC-9765"
"J29","PTH_HDRV02W64P254_1X02","26.7169mm","-1.65mm","26.7169mm","-1.65mm","26.7169mm","-0.38mm","T","270.00","CON_2PINS"
"J30","PTH_SPEAKER_MCABS-227-RC","24.3615mm","-3mm","24.3615mm","-3mm","19.3615mm","-3mm","B","360.00","SPEAKER"
"Q1","SMD_SOT23_SOT95P240X120-3N","18.0036mm","25.2784mm","18.0036mm","25.2784mm","17.0536mm","24.1284mm","T","90.00","BC817"
"Q2","PTH_TO220AB","7.65mm","23mm","8mm","23mm","7.65mm","20.45mm","B","90.00","AP9987GJ"
"Q3","SMD_SOT23_SOT95P240X120-3N","18mm","21mm","18mm","21mm","17.05mm","19.85mm","T","90.00","BC817"
"Q4","SMD_SOT23_SOT95P240X120-3N","12.7679mm","15.25mm","12.7679mm","15.25mm","11.6179mm","16.2mm","T","360.00","DTC114YKA"
"R1","SMD_0603_RESC1608X55N","12.2036mm","19.3714mm","12.2036mm","19.3714mm","11.4036mm","19.3714mm","T","360.00","10k"
"R2","SMD_0603_RESC1608X55N","14.4429mm","25.7784mm","14.4429mm","25.7784mm","13.6429mm","25.7784mm","T","360.00","10k"
"R3","SMD_0603_RESC1608X55N","15.2888mm","20.2464mm","15.2888mm","20.2464mm","15.2888mm","19.4464mm","T","90.00","0"
"R4","SMD_0603_RESC1608X55N","15.2888mm","23.3115mm","15.2888mm","23.3115mm","15.2888mm","22.5115mm","T","90.00","10k"
"R5","SMD_0603_RESC1608X55N","18.2589mm","18.225mm","18.2589mm","18.225mm","17.4589mm","18.225mm","T","360.00","10k"
"R6","SMD_0603_RESC1608X55N","0.35mm","31.8518mm","0.35mm","31.8518mm","-0.45mm","31.8518mm","T","360.00","0"
"R7","SMD_0603_RESC1608X55N","12.2036mm","17.75mm","12.2036mm","17.75mm","11.4036mm","17.75mm","T","360.00","10k"
"R8","SMD_0603_RESC1608X55N","37.4536mm","38mm","37.4536mm","38mm","37.4536mm","37.2mm","T","90.00","0"
"R9","SMD_0603_RESC1608X55N","15.25mm","17.75mm","15.25mm","17.75mm","14.45mm","17.75mm","T","360.00","10k"
"R12","SMD_0603_RESC1608X55N","24.6mm","26.7784mm","24.6mm","26.7784mm","24.6mm","25.9784mm","T","90.00","0"
"SW1","SMD_SW_TACT-64K_5","36.87mm","28.375mm","36.87mm","28.375mm","34.62mm","24.375mm","B","360.00","DTSM-65N"
"SW3","SMD_SW_TACT-64K_5","29.525mm","22mm","29.525mm","22mm","27.275mm","18mm","B","360.00","DTSM-62N"
"J28","PTH_DC-POWER-JACK_210-112","6mm","10.77mm","6mm","8.27mm","9mm","8.27mm","B","360.00","CON_3PINS"

