"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C36","SMD_0603_CAPC1608X95N","43.925mm","20.475mm","43.925mm","20.475mm","43.125mm","20.475mm","B","360.00","33pF"
"J4","SMD_CON-ATTEND_SIM_115B-AAA0-R01","37.37mm","10.97mm","45.27mm","4.97mm","24.77mm","7.16mm","T","360.00","GSM SIMH"
"J15","PTH_MIC_9.6MM_6MM","43.925mm","18.25mm","43.925mm","19.05mm","45.195mm","18.25mm","T","180.00","LD-MC-9765"
"J21","PTH_DC-POWER-JACK_210-112","11.375mm","21.6499mm","11.375mm","24.1499mm","14.375mm","24.1499mm","T","360.00","CON_3PINS"
"J22","PTH_HDRV02W11060P350_1X02","3.975mm","23.175mm","3.975mm","23.175mm","3.975mm","24.925mm","T","270.00","CON_2PINS"
"J23","PTH_HDRV02W64P254_1X02","27.325mm","19.85mm","27.325mm","19.85mm","28.595mm","19.85mm","T","180.00","CON_2PINS"
"R20","SMD_0603_RESC1608X55N","24.125mm","27.35mm","24.125mm","27.35mm","24.125mm","28.15mm","T","270.00","0"
"R22","SMD_0603_RESC1608X55N","22.62mm","12.7401mm","22.62mm","12.7401mm","22.62mm","13.5401mm","T","270.00","3k6"
"R23","SMD_0603_RESC1608X55N","30.95mm","39.25mm","30.95mm","39.25mm","31.75mm","39.25mm","T","180.00","1R"
"R24","SMD_0603_RESC1608X55N","22.62mm","8.9401mm","22.62mm","8.9401mm","22.62mm","9.7401mm","T","270.00","1k2"
"U5","SMD_MOD_MC60_54_PIN","50.42mm","33.54mm","50.42mm","33.54mm","43.42mm","25.64mm","T","90.00","MOD_QUECTEL_MC60"
"C9","SMD_0603_CAPC1608X95N","33.25mm","38.65mm","33.25mm","38.65mm","34.05mm","38.65mm","B","180.00","10pF"
"C10","SMD_1210_CAPC3225X279N","37.6mm","42.52mm","37.6mm","42.52mm","37.6mm","41.07mm","B","90.00","22uF"
"J1","PTH_HDRV02W64P254_1X02","49.52mm","21.325mm","49.52mm","21.325mm","49.52mm","20.055mm","T","90.00","CON_2PINS"
"K1","PTH_REL_RAS","20.225mm","37.325mm","19.225mm","37.325mm","25.375mm","43.325mm","T","360.00","RELAY_SPDT"
"R1","SMD_0603_RESC1608X55N","45.18mm","36.76mm","45.18mm","36.76mm","45.18mm","35.96mm","B","90.00","10k"
"R2","SMD_0603_RESC1608X55N","34.96mm","28.75mm","34.96mm","28.75mm","34.16mm","28.75mm","T","360.00","10k"
"R3","SMD_0603_RESC1608X55N","42.18mm","36.76mm","42.18mm","36.76mm","42.18mm","37.56mm","B","270.00","0"
"R5","SMD_0603_RESC1608X55N","36.56mm","28.75mm","36.56mm","28.75mm","35.76mm","28.75mm","T","360.00","10k"
"R6","SMD_0603_RESC1608X55N","43.68mm","36.76mm","43.68mm","36.76mm","43.68mm","37.56mm","B","270.00","10k"
